,TotalPop,TPopMargin,UnWgtSampleCtPop,PerCapitaIncome,PerCapIncMargin,MedianHouseholdInc,MedHouseholdIncMargin,MedianAge,MedianAgeMargin,HousingUnits,HousingUnitsMargin,UnweightedSampleHousingUnits,State,County,Tract,BlockGroup,Year
46,1372.0,251.0,65.0,71736.0,26253.0,87074.0,27571.0,33.4,3.5,1038.0,146.0,47.0,11,1,1002,2,2009
47,1886.0,261.0,149.0,73741.0,14636.0,150139.0,31875.0,47.0,10.4,874.0,90.0,70.0,11,1,1100,1,2009
48,384.0,122.0,39.0,150164.0,69495.0,125278.0,39571.0,45.8,18.3,271.0,78.0,22.0,11,1,1100,3,2009
49,747.0,197.0,65.0,131395.0,38809.0,250001.0,,40.1,6.1,323.0,82.0,27.0,11,1,1100,4,2009
50,1298.0,280.0,107.0,68102.0,13550.0,158393.0,39018.0,41.4,8.5,511.0,87.0,43.0,11,1,1100,5,2009
51,1708.0,282.0,102.0,65756.0,11628.0,69708.0,12890.0,36.8,7.6,1033.0,123.0,66.0,11,1,1200,1,2009
52,1178.0,210.0,69.0,65534.0,15153.0,111667.0,47586.0,37.3,8.6,590.0,89.0,36.0,11,1,1200,2,2009
53,662.0,254.0,37.0,71983.0,24316.0,175850.0,67530.0,35.3,10.8,233.0,66.0,16.0,11,1,1200,3,2009
54,1338.0,307.0,76.0,96695.0,28494.0,165000.0,10682.0,36.2,7.9,574.0,101.0,37.0,11,1,1200,4,2009
55,1931.0,320.0,106.0,80722.0,21225.0,114395.0,43102.0,33.9,5.4,775.0,103.0,46.0,11,1,1301,1,2009
56,601.0,246.0,35.0,76696.0,34509.0,173750.0,71193.0,40.0,16.9,228.0,64.0,15.0,11,1,1301,5,2009
57,1837.0,371.0,114.0,66863.0,26309.0,62333.0,19645.0,39.5,8.8,1040.0,106.0,60.0,11,1,1301,7,2009
58,3032.0,370.0,194.0,76387.0,10558.0,77556.0,12706.0,48.3,9.9,2315.0,189.0,139.0,11,1,1302,1,2009
59,3232.0,310.0,216.0,72323.0,9657.0,80427.0,8093.0,35.7,1.7,2686.0,175.0,173.0,11,1,1302,2,2009
60,1836.0,222.0,159.0,66133.0,9935.0,76563.0,18275.0,39.0,6.4,1009.0,80.0,86.0,11,1,1401,3,2009
61,1565.0,260.0,120.0,80716.0,24148.0,194917.0,20247.0,41.1,2.9,481.0,66.0,41.0,11,1,1401,6,2009
62,1166.0,206.0,86.0,90812.0,32081.0,204167.0,98196.0,40.5,4.2,392.0,71.0,31.0,11,1,1402,1,2009
63,1925.0,339.0,165.0,66346.0,13039.0,70030.0,26424.0,56.5,7.9,1045.0,103.0,81.0,11,1,1402,2,2009
64,1479.0,287.0,98.0,79782.0,20602.0,156985.0,40411.0,48.3,5.1,575.0,82.0,40.0,11,1,1500,1,2009
65,1149.0,343.0,75.0,69551.0,21486.0,135577.0,108259.0,46.7,15.8,404.0,72.0,27.0,11,1,1500,3,2009
66,1654.0,386.0,93.0,83183.0,15940.0,185000.0,31478.0,43.3,10.5,650.0,82.0,42.0,11,1,1500,4,2009
67,1105.0,315.0,54.0,98678.0,29892.0,250001.0,,38.9,13.1,356.0,80.0,20.0,11,1,1500,5,2009
68,782.0,178.0,52.0,61787.0,15388.0,161055.0,18708.0,42.5,10.0,285.0,48.0,21.0,11,1,1500,6,2009
69,912.0,232.0,75.0,66208.0,14796.0,131000.0,26623.0,51.9,7.8,382.0,74.0,33.0,11,1,1600,1,2009
70,1172.0,326.0,61.0,35945.0,11892.0,136250.0,166944.0,34.8,7.7,359.0,83.0,23.0,11,1,1600,2,2009
71,835.0,274.0,55.0,78536.0,14296.0,169792.0,20908.0,55.4,1.2,349.0,80.0,26.0,11,1,1600,3,2009
72,593.0,220.0,45.0,77394.0,24050.0,151696.0,58004.0,57.6,3.2,251.0,76.0,21.0,11,1,1600,4,2009
73,781.0,205.0,55.0,79074.0,22040.0,84435.0,65503.0,54.8,6.6,411.0,81.0,29.0,11,1,1600,5,2009
74,1252.0,349.0,79.0,39125.0,12840.0,65125.0,24766.0,44.7,5.2,542.0,107.0,35.0,11,1,1701,1,2009
75,809.0,246.0,41.0,47202.0,17658.0,62159.0,46158.0,39.1,3.4,441.0,102.0,25.0,11,1,1701,5,2009
76,769.0,281.0,32.0,30792.0,11524.0,49286.0,26961.0,27.8,20.7,318.0,90.0,17.0,11,1,1701,6,2009
77,1219.0,283.0,87.0,46484.0,7906.0,103281.0,26139.0,38.6,2.8,550.0,78.0,43.0,11,1,1702,1,2009
78,1141.0,253.0,91.0,46503.0,18617.0,64350.0,26204.0,36.8,14.2,589.0,84.0,48.0,11,1,1702,2,2009
79,431.0,443.0,,18053.0,3878.0,,,23.5,2.0,0.0,132.0,,11,1,1801,1,2009
80,1431.0,271.0,78.0,39438.0,8457.0,63958.0,22799.0,44.8,9.0,740.0,129.0,43.0,11,1,1803,5,2009
81,1560.0,340.0,101.0,23898.0,5306.0,33470.0,4979.0,39.1,8.2,925.0,128.0,59.0,11,1,1803,6,2009
82,1513.0,426.0,82.0,19339.0,6723.0,38221.0,12696.0,30.8,13.7,559.0,111.0,36.0,11,1,1804,2,2009
83,1966.0,348.0,109.0,19715.0,4368.0,30625.0,9762.0,37.2,1.9,963.0,121.0,58.0,11,1,1804,3,2009
84,865.0,298.0,54.0,32189.0,7433.0,44559.0,24002.0,42.1,5.5,436.0,110.0,29.0,11,1,1804,4,2009
85,1539.0,578.0,81.0,22868.0,6606.0,39932.0,68341.0,27.5,7.1,422.0,100.0,27.0,11,1,1901,5,2009
86,966.0,438.0,60.0,26004.0,10434.0,71806.0,35093.0,28.5,19.0,315.0,92.0,24.0,11,1,1901,6,2009
87,1699.0,511.0,102.0,18043.0,4221.0,44545.0,13533.0,37.4,7.1,515.0,99.0,37.0,11,1,1901,7,2009
88,924.0,267.0,54.0,36375.0,10986.0,68150.0,13047.0,50.1,5.1,401.0,80.0,27.0,11,1,1901,8,2009
89,977.0,295.0,49.0,27662.0,6186.0,52174.0,47020.0,42.6,12.2,344.0,84.0,21.0,11,1,1902,2,2009
90,774.0,286.0,53.0,27977.0,5215.0,71607.0,50791.0,39.9,8.5,265.0,80.0,22.0,11,1,1902,3,2009
91,632.0,179.0,41.0,29628.0,8063.0,63226.0,47285.0,52.9,15.4,278.0,67.0,20.0,11,1,1902,4,2009
92,1397.0,373.0,67.0,22332.0,4876.0,30101.0,5922.0,36.5,8.7,771.0,95.0,43.0,11,1,2001,1,2009
93,1323.0,372.0,82.0,67283.0,15069.0,143500.0,124902.0,55.5,6.0,393.0,87.0,30.0,11,1,2001,7,2009
94,1076.0,347.0,62.0,29853.0,6734.0,34569.0,8911.0,53.2,11.3,607.0,126.0,36.0,11,1,2002,2,2009
95,1107.0,584.0,62.0,33013.0,6881.0,108409.0,60616.0,44.7,5.4,250.0,93.0,20.0,11,1,2002,3,2009
96,493.0,265.0,41.0,28209.0,10768.0,49375.0,20965.0,47.8,12.6,211.0,74.0,17.0,11,1,2002,4,2009
97,1291.0,466.0,71.0,56145.0,20643.0,186250.0,94282.0,38.1,8.7,388.0,117.0,23.0,11,1,2002,5,2009
98,1338.0,352.0,105.0,24167.0,4836.0,40000.0,21982.0,34.9,8.0,580.0,107.0,45.0,11,1,2101,1,2009
99,1081.0,362.0,63.0,19020.0,5693.0,44044.0,22686.0,33.9,12.7,535.0,121.0,31.0,11,1,2101,2,2009
100,1184.0,304.0,75.0,20149.0,4930.0,61146.0,12397.0,40.2,9.3,456.0,99.0,32.0,11,1,2101,3,2009
101,789.0,273.0,51.0,33008.0,12093.0,47344.0,19461.0,32.0,5.2,313.0,86.0,23.0,11,1,2101,4,2009
102,692.0,312.0,50.0,12019.0,4580.0,39028.0,13554.0,28.9,19.2,237.0,86.0,18.0,11,1,2101,5,2009
103,1145.0,286.0,71.0,28711.0,5945.0,51615.0,11125.0,43.6,21.4,444.0,94.0,29.0,11,1,2102,1,2009
104,688.0,347.0,35.0,35572.0,12521.0,56250.0,47633.0,40.0,14.2,528.0,130.0,26.0,11,1,2102,2,2009
105,533.0,230.0,32.0,27491.0,11045.0,39590.0,26478.0,48.6,22.0,285.0,105.0,17.0,11,1,2102,3,2009
106,890.0,263.0,44.0,25154.0,5271.0,50714.0,48731.0,45.5,4.4,468.0,108.0,22.0,11,1,2102,4,2009
107,378.0,151.0,29.0,24205.0,8543.0,35650.0,17073.0,52.3,21.4,241.0,88.0,15.0,11,1,2102,5,2009
108,848.0,345.0,51.0,23749.0,10292.0,57596.0,44517.0,35.5,17.0,306.0,113.0,19.0,11,1,2102,6,2009
109,1475.0,315.0,69.0,27934.0,7185.0,68363.0,37471.0,35.1,9.1,611.0,94.0,31.0,11,1,2201,1,2009
110,996.0,433.0,69.0,26248.0,7099.0,70893.0,17572.0,37.3,6.7,318.0,85.0,24.0,11,1,2201,2,2009
111,834.0,288.0,51.0,26432.0,6321.0,59028.0,52016.0,45.8,15.8,263.0,71.0,19.0,11,1,2201,4,2009
112,1220.0,312.0,65.0,24280.0,7171.0,33885.0,20572.0,36.5,6.0,596.0,102.0,38.0,11,1,2202,1,2009
113,997.0,269.0,53.0,23527.0,8056.0,40605.0,6771.0,40.6,12.2,443.0,96.0,28.0,11,1,2202,2,2009
114,1005.0,329.0,63.0,18084.0,5952.0,40875.0,17432.0,37.9,10.0,424.0,92.0,27.0,11,1,2202,3,2009
115,1312.0,297.0,80.0,27253.0,5573.0,81094.0,38080.0,36.4,3.9,516.0,86.0,36.0,11,1,2301,1,2009
116,443.0,212.0,38.0,33815.0,12855.0,72250.0,21820.0,46.1,4.7,210.0,60.0,19.0,11,1,2301,2,2009
117,885.0,220.0,48.0,32502.0,6937.0,71964.0,49530.0,32.7,6.0,322.0,67.0,21.0,11,1,2301,3,2009
118,267.0,126.0,24.0,43893.0,14589.0,93571.0,54626.0,48.7,10.7,124.0,39.0,12.0,11,1,2301,4,2009
119,2013.0,747.0,97.0,28835.0,9972.0,73826.0,22902.0,54.9,12.6,565.0,47.0,38.0,11,1,2302,1,2009
120,1019.0,301.0,59.0,29071.0,4701.0,55125.0,15941.0,46.5,4.0,411.0,103.0,28.0,11,1,2400,2,2009
121,646.0,310.0,43.0,29921.0,8421.0,58750.0,42671.0,44.4,8.2,216.0,75.0,16.0,11,1,2400,3,2009
122,1269.0,309.0,74.0,26424.0,5095.0,67760.0,7951.0,48.3,9.8,382.0,82.0,27.0,11,1,2400,4,2009
123,790.0,316.0,49.0,28035.0,6942.0,39545.0,10806.0,52.4,13.4,355.0,84.0,25.0,11,1,2400,5,2009
124,885.0,298.0,55.0,22696.0,15122.0,10989.0,1435.0,35.2,17.3,437.0,95.0,32.0,11,1,2501,1,2009
125,1387.0,366.0,87.0,40103.0,8906.0,85257.0,31295.0,44.0,2.4,593.0,105.0,40.0,11,1,2501,3,2009
126,809.0,471.0,41.0,32439.0,18513.0,54167.0,24862.0,48.6,11.1,401.0,105.0,24.0,11,1,2502,1,2009
127,1899.0,680.0,77.0,20651.0,5230.0,38594.0,18448.0,32.4,4.6,704.0,125.0,40.0,11,1,2502,2,2009
128,2416.0,539.0,146.0,25495.0,4094.0,47525.0,10300.0,34.2,3.5,926.0,137.0,63.0,11,1,2502,3,2009
129,1435.0,198.0,113.0,69940.0,11493.0,171823.0,32813.0,48.2,6.5,581.0,67.0,47.0,11,1,2600,2,2009
130,913.0,208.0,65.0,77440.0,30585.0,100577.0,21899.0,48.8,11.6,456.0,62.0,34.0,11,1,2600,3,2009
131,3764.0,547.0,169.0,42902.0,7906.0,59239.0,7633.0,33.0,3.7,2020.0,152.0,97.0,11,1,2701,1,2009
132,1652.0,414.0,109.0,35547.0,8497.0,52632.0,15218.0,34.8,5.9,770.0,134.0,51.0,11,1,2701,2,2009
133,1579.0,463.0,84.0,32754.0,7047.0,49120.0,37229.0,32.7,1.2,887.0,151.0,46.0,11,1,2702,1,2009
134,2482.0,498.0,106.0,62851.0,14650.0,110833.0,39617.0,39.0,2.8,1065.0,148.0,55.0,11,1,2702,2,2009
135,1773.0,459.0,114.0,45228.0,8016.0,149006.0,23292.0,32.9,6.2,540.0,100.0,38.0,11,1,2702,3,2009
136,3555.0,688.0,183.0,26798.0,5279.0,41458.0,9578.0,34.8,5.1,1622.0,64.0,99.0,11,1,2801,1,2009
137,4163.0,627.0,227.0,23285.0,3876.0,39424.0,4823.0,32.0,1.6,1904.0,104.0,122.0,11,1,2802,2,2009
138,1736.0,395.0,113.0,22756.0,5345.0,35625.0,17092.0,31.7,5.7,784.0,97.0,60.0,11,1,2900,1,2009
139,2341.0,508.0,151.0,31332.0,5028.0,62201.0,12638.0,31.1,3.0,863.0,97.0,64.0,11,1,2900,2,2009
140,2779.0,293.0,185.0,33451.0,7215.0,43167.0,7467.0,31.1,1.5,1345.0,75.0,86.0,11,1,3000,1,2009
141,2048.0,287.0,142.0,29384.0,5761.0,68500.0,17248.0,30.9,1.9,787.0,92.0,57.0,11,1,3100,1,2009
142,632.0,246.0,30.0,16589.0,5666.0,22330.0,21473.0,37.7,7.3,264.0,93.0,15.0,11,1,3100,2,2009
143,1145.0,664.0,68.0,26343.0,6225.0,62188.0,38382.0,32.0,9.5,331.0,90.0,25.0,11,1,3200,1,2009
144,883.0,439.0,51.0,18520.0,8257.0,62083.0,52917.0,29.7,18.7,290.0,90.0,20.0,11,1,3200,2,2009
145,1034.0,378.0,66.0,31248.0,8150.0,29658.0,29621.0,35.7,11.4,567.0,122.0,33.0,11,1,3200,3,2009
146,1447.0,340.0,84.0,26022.0,6994.0,46625.0,29654.0,34.8,10.2,607.0,105.0,38.0,11,1,3200,4,2009
147,1023.0,327.0,64.0,76719.0,39975.0,106354.0,49816.0,36.7,4.0,461.0,108.0,30.0,11,1,3301,1,2009
148,1006.0,248.0,69.0,41933.0,11063.0,70563.0,14243.0,42.6,7.6,512.0,93.0,34.0,11,1,3301,2,2009
149,1023.0,548.0,65.0,24297.0,16136.0,51477.0,52580.0,28.6,6.3,417.0,101.0,28.0,11,1,3301,3,2009
150,1228.0,245.0,94.0,39671.0,7772.0,78571.0,37050.0,35.1,3.4,593.0,79.0,47.0,11,1,3302,1,2009
151,827.0,203.0,60.0,39238.0,10153.0,80577.0,7988.0,28.4,4.2,356.0,73.0,30.0,11,1,3302,2,2009
152,1832.0,728.0,107.0,4407.0,2726.0,21845.0,18619.0,18.8,0.3,189.0,75.0,11.0,11,1,3400,2,2009
153,1763.0,464.0,99.0,14759.0,4946.0,18015.0,7127.0,24.2,5.0,527.0,93.0,34.0,11,1,3400,3,2009
154,1199.0,333.0,77.0,25094.0,7713.0,34079.0,13172.0,30.3,7.3,586.0,106.0,41.0,11,1,3400,4,2009
155,1813.0,473.0,87.0,20369.0,6008.0,44342.0,15826.0,24.3,6.1,730.0,77.0,40.0,11,1,3500,1,2009
156,525.0,207.0,58.0,16831.0,8254.0,10417.0,10832.0,23.8,18.5,303.0,70.0,25.0,11,1,3500,2,2009
157,4487.0,722.0,266.0,29642.0,3760.0,41016.0,8144.0,35.9,4.6,1993.0,86.0,141.0,11,1,3600,1,2009
158,4554.0,457.0,235.0,22327.0,2536.0,40066.0,5525.0,28.4,2.5,2298.0,88.0,128.0,11,1,3700,1,2009
159,2459.0,485.0,128.0,51021.0,9602.0,64837.0,16966.0,35.7,0.8,1671.0,201.0,85.0,11,1,3800,1,2009
160,1516.0,281.0,77.0,58206.0,9195.0,75667.0,13444.0,37.8,3.0,1032.0,168.0,56.0,11,1,3800,2,2009
161,2259.0,371.0,119.0,51556.0,5621.0,67073.0,6775.0,34.3,1.9,1582.0,150.0,89.0,11,1,3900,1,2009
162,1769.0,250.0,109.0,67183.0,9413.0,81507.0,9131.0,36.2,1.3,1316.0,141.0,78.0,11,1,3900,2,2009
163,1382.0,294.0,84.0,66609.0,9233.0,96554.0,22089.0,32.3,2.8,774.0,129.0,47.0,11,1,4001,1,2009
164,728.0,150.0,43.0,97208.0,25589.0,102398.0,50637.0,50.5,3.2,486.0,79.0,30.0,11,1,4001,2,2009
165,1367.0,223.0,86.0,77403.0,12734.0,100078.0,21172.0,37.7,3.3,1072.0,133.0,59.0,11,1,4001,3,2009
166,627.0,139.0,53.0,102744.0,46191.0,101875.0,40777.0,34.6,3.6,459.0,101.0,36.0,11,1,4002,1,2009
167,1779.0,249.0,147.0,87770.0,23449.0,72434.0,15662.0,35.9,3.4,1248.0,108.0,102.0,11,1,4002,2,2009
168,1958.0,280.0,155.0,80913.0,15467.0,78548.0,10609.0,41.9,4.2,1212.0,103.0,93.0,11,1,4100,1,2009
169,863.0,161.0,70.0,105000.0,34999.0,124643.0,50922.0,48.7,7.4,458.0,82.0,35.0,11,1,4100,3,2009
170,1560.0,253.0,94.0,70623.0,22773.0,69250.0,21545.0,33.5,2.1,1023.0,119.0,68.0,11,1,4201,1,2009
171,1840.0,284.0,120.0,79273.0,14436.0,106500.0,24713.0,33.2,2.6,1118.0,126.0,73.0,11,1,4201,2,2009
172,2447.0,347.0,198.0,83017.0,14123.0,88679.0,9890.0,33.9,2.7,1821.0,84.0,147.0,11,1,4202,1,2009
173,1845.0,325.0,114.0,43407.0,6347.0,44402.0,22040.0,37.9,5.9,1229.0,142.0,79.0,11,1,4300,1,2009
174,945.0,256.0,58.0,66421.0,22111.0,73320.0,36623.0,40.7,7.2,770.0,136.0,42.0,11,1,4300,2,2009
175,2173.0,435.0,135.0,67934.0,9857.0,96125.0,18716.0,36.0,3.1,1323.0,149.0,85.0,11,1,4400,1,2009
176,1832.0,390.0,94.0,63225.0,17062.0,99508.0,19416.0,34.9,3.9,791.0,122.0,48.0,11,1,4400,2,2009
177,881.0,301.0,66.0,30488.0,9966.0,41528.0,37365.0,34.4,5.5,509.0,104.0,37.0,11,1,4600,1,2009
178,973.0,210.0,64.0,31165.0,6638.0,51902.0,15117.0,40.8,6.8,471.0,78.0,35.0,11,1,4600,2,2009
179,535.0,144.0,39.0,51109.0,23148.0,55938.0,42925.0,41.5,16.4,287.0,62.0,22.0,11,1,4600,3,2009
180,715.0,311.0,35.0,15259.0,7372.0,9375.0,11726.0,21.2,5.4,409.0,131.0,20.0,11,1,4700,1,2009
181,2369.0,668.0,103.0,6908.0,2763.0,12083.0,5392.0,23.8,19.9,657.0,148.0,30.0,11,1,4700,2,2009
182,1906.0,416.0,95.0,34862.0,10999.0,19538.0,13152.0,36.6,6.6,1496.0,148.0,73.0,11,1,4700,3,2009
183,1199.0,247.0,77.0,46741.0,12723.0,56346.0,38670.0,39.0,2.4,761.0,74.0,53.0,11,1,4801,2,2009
184,397.0,177.0,35.0,50310.0,15566.0,98750.0,20464.0,35.3,2.4,232.0,68.0,20.0,11,1,4801,3,2009
185,1006.0,279.0,69.0,38117.0,9491.0,58365.0,26615.0,44.1,14.8,572.0,87.0,41.0,11,1,4802,1,2009
186,2196.0,726.0,103.0,29744.0,15136.0,33077.0,15287.0,32.3,7.1,773.0,100.0,48.0,11,1,4802,2,2009
187,763.0,216.0,48.0,28566.0,10212.0,24770.0,32510.0,34.2,11.1,455.0,82.0,30.0,11,1,4901,1,2009
188,895.0,275.0,50.0,46824.0,10818.0,61950.0,64733.0,40.7,9.9,501.0,93.0,27.0,11,1,4901,2,2009
189,945.0,277.0,50.0,26783.0,8328.0,37386.0,7781.0,27.9,3.3,391.0,85.0,23.0,11,1,4902,1,2009
190,1649.0,325.0,131.0,63270.0,12645.0,99722.0,40310.0,29.8,2.1,999.0,95.0,82.0,11,1,4902,2,2009
191,573.0,202.0,38.0,71855.0,14752.0,92361.0,91083.0,31.0,4.7,445.0,126.0,26.0,11,1,5000,1,2009
