,Description,ID,Latitude,Longitude,Station_Entrance,StationCode1,StationCode2,census_block,census_blockgroup,census_tract,census_index
34,"Passageway from east side of the station is accessible by bus bay, kiss&ride and parking lot located east of Parklawn Dr and Twinbrook Pkwy.",40,39.062326,-77.120416,"EAST ENTRANCE (EAST SIDE ROCKVILLE PIKE, NORTHWEST OF PARKLAWN DR & WICOMICO AVE)",A13,,1017,1,701219,7012191
35,"West side entrance from bus bay, kiss&ride and parking lot located northeast corner of Chapman Ave and Bouic Ave.",41,39.062126,-77.1207,"WEST ENTRANCE (WEST SIDE ROCKVILLE PIKE, NORTHEAST OF CHAPMAN AVE & BOUIC AVE)",A13,,1009,1,700904,7009041
36,Passageway to station east side is accessible from park&ride and bus bay located at the southwest corner of S.Stonestreet Ave/Park Rd and from the sidewalks from Park Road.,42,39.084676,-77.146276,"EAST ENTRANCE (EAST SIDE EXIT, SOUTHWEST CORNER OF S STONESTREET AVE & PARK RD)",A14,,2024,2,700902,7009022
37,"Station west side entrance is accessible from bus bay, metered parking located southeast of Park Rd/ Rockville Pike and from the pedestrian bridge originates from the opposite building.",43,39.084471,-77.146574,"WEST ENTRANCE (ROCKVILLE PIKE EXIT, SOUTHEAST OF PARK RD & ROCKVILLE PIKE)",A14,,2000,2,700901,7009012
38,Street level elevator to station is located next to west side escalator and is accessible from bus bay and parking lot.,44,39.120076,-77.16500400000001,WEST ELEVATOR ENTRANCE (ADJACENT TO WEST ENTRANCE),A15,,2024,2,700704,7007042
39,West side station entrance from bus bay and parking lot is located east of Somerville Dr.,45,39.119939,-77.16501,WEST ENTRANCE (EAST OF SUMMERVILLE DR),A15,,2024,2,700704,7007042
40,Passageway from east side of the station accessible from bus bay and parking garage located northwest corner of Crabbs Branch Way and Redland Rd.,46,39.120422999999995,-77.164433,EAST ENTRANCE (NORTHWEST CORNER OF CRABBS BRANCH WAY & REDLAND RD),A15,,2017,2,700711,7007112
41,"Station entrance from Verizon center, located at the northeast corner of F St NW and 7th St NW.",47,38.897574,-77.021681,EAST ENTRANCE (NORTHEAST OF 7TH & F STs) TO RED LINE,B01,F01,2006,2,005800,0058002
42,Station entrance located at the southeast corner of 9th St NW and G St NW.,48,38.898047999999996,-77.023763,WEST ENTRANCE (SOUTHEAST OF 9TH & G STs) TO RED LINE,B01,F01,1016,1,005800,0058001
43,Street level elevator to station platform( to Shady Grove) is located between F St NW and E St NW.,49,38.896824,-77.017453,"NORTHEAST ELEVATOR ENTRANCE (NE CORNER, METRO JUDICIARY SQUARE BETWEEN F & E STs)",B02,,1026,1,005900,0059001
