,Description,ID,Latitude,Longitude,Station_Entrance,StationCode1,StationCode2,census_block,census_blockgroup,census_tract,census_index
131,Canopied escalator and stairway entrance from southwest corner of 14th St NW and Irving St NW.,160,38.928607,-77.033139,WEST ENTRANCE (SOUTHWEST OF 14TH ST NW & IRVING ST NW),E04,,1000,1,002802,0028021
132,Elevator entrance from west side of Georgia Ave NW and New Hampshire Ave NW.,161,38.936809999999994,-77.024663,"WEST ELEVATOR ENTRANCE (BUILDING EXIT, WEST OF GEORGIA & NEW HAMPSHIRE AVEs)",E05,,2006,2,002502,0025022
133,Canopied entrance from the west of New Hampshire Ave NW.,162,38.93698,-77.02412700000001,MAIN ENTRANCE (NORTHEAST OF GEORGIA & NEW HAMPSHIRE AVEs),E05,,1005,1,002400,0024001
134,"Station entrance located west of Ager Rd is accessible by the sidewalks from bus bay, kiss&ride and parking lot and by the walkway from Lancer Dr located west of the station.",164,38.955717,-76.9689,MAIN ENTRANCE (NORTHWEST OF HAMILTON ST & AGER RD),E07,,2000,2,805101,8051012
135,Station entrance from  north side parking garage (bus bay E-H)  located south of East-West Hwy and west of Belcrest Rd.,165,38.965384,-76.955585,NORTH ENTRANCE (NORTH BUS BAY),E08,,1007,1,806000,8060001
136,"Elevator entrance by the walkway from parking lot, bus bay, and kiss&ride off of River Rd, located on east side of station.",167,38.978133,-76.928016,EAST ELEVATOR ENTRANCE (RIVER RD & PAINT BRANCH PKWY),E09,,2020,2,807102,8071022
137,"Elevator entrance from bus bay and kiss&ride off Calvert Rd, located on west side of station.",168,38.978357,-76.92874,WEST ELEVATOR ENTRANCE (CALVERT RD TUNNEL),E09,,1020,1,807200,8072001
138,"Canopied escalator and stairway entrance from bus bay and kiss&ride off Calvert Rd, located on west side of station.",170,38.97835,-76.928939,WEST ENTRANCE (CALVERT RD TUNNEL),E09,,1000,1,807102,8071021
139,Passageway from the intersection of Lackawanna St and 53rd Ave towards the station (tunnel goes under MARC train tracks).,171,39.010818,-76.91194200000001,"WEST ENTRANCE (TUNNEL EXIT, LACKAWANNA ST & 53RD AVE)",E10,,3003,3,806900,8069003
140,"Station entrance is accessible  by the walkway from bus bay, Kiss&Ride, and parking lot located on the east side of the station.",172,39.010833,-76.911018,"EAST ENTRANCE (PARKING EXIT, GREENBELT METRO DR & CHERRYWOOD LN)",E10,,2000,2,806714,8067142
141,Station entrance from the southeast corner of 7th St NW and H St NW.,174,38.89963,-77.02156,NORTH ENTRANCE (SOUTHEAST OF 7TH & H STs) TO GREEN/YELLOW LINES,F01,B01,2005,2,005800,0058002
142,Elevator entrance from 7th St and Indiana Ave NW.,175,38.893879,-77.02207299999999,ELEVATOR ENTRANCE (7TH ST NW & PENNSYLVANIA AVE NW),F02,,1040,1,005800,0058001
143,Street level elevator located at the northeast corner of M St SW and 4th St SW.,179,38.876638,-77.017329,ELEVATOR ENTRANCE (NEXT TO MAIN ENTRANCE),F04,,2043,2,010200,0102002
144,Station entrance located just north of M St SW and 4th St SW ( near Safeway).,180,38.876982,-77.017533,MAIN ENTRANCE (NORTHEAST OF M & 4TH STs),F04,,2043,2,010200,0102002
145,Street level elevator to station is located at M St SE segment between 1st St SE and New Jersey Ave SE.,181,38.876616999999996,-77.00470200000001,EAST ELEVATOR ENTRANCE (WEST OF M ST & NEW JERSEY AVE),F05,,2026,2,007200,0072002
146,Building entrance from the southeast corner Half St SE and M St SE to access station escalator.,183,38.876068,-77.007311,WEST ENTRANCE (SE OF M ST & HALF ST),F05,,2030,2,007200,0072002
147,Station entrance from west side of parking garage located at Howard St SE.,184,38.864603,-76.995959,NORTH ENTRANCE (HOWARD RD SE PARKING GARAGE),F06,,1015,1,007401,0074011
148,Station entrance from south side of Howard St SE and Shannon Pl SE.,185,38.862152,-76.995112,SOUTH ENTRANCE 1 (HOWARD RD SE & FIRTH STERING AVE SE),F06,,1034,1,007401,0074011
149,Station entrance from north of bus bay.,186,38.862115,-76.995316,SOUTH ENTRANCE 2 (HOWARD RD SE & FIRTH STERING AVE SE),F06,,1034,1,007401,0074011
150,"Elevator entrance from bus bay, located northeast of 13th St SE and Alabama Ave SE.",187,38.845117,-76.98781,ELEVATOR ENTRANCE (NORTHEAST OF ALABAMA AVE SE & 13TH ST SE),F07,,2006,2,007404,0074042
151,"Canopied escalator and stairway entrance from bus bay, kiss&ride and parking lot areas.",189,38.845446,-76.98781600000001,NORTH ENTRANCE (NORTHEAST OF ALABAMA AVE SE & 13TH ST SE),F07,,2006,2,007404,0074042
152,West side station entrance from bus bay located east of Southern Ave.,190,38.840592,-76.975797,NORTHWEST ENTRANCE (SOUTHERN AVE & VLLEY TERR),F08,,2002,2,801807,8018072
153,"Station entrance from bus bay, and pedestrian bridge connecting parking garage and station is accessible from Southern Ave and Oxon Run Dr.",191,38.840472999999996,-76.97575,SOUTHEAST ENTRANCE (EAST SIDE OF SOUTHERN AVE ACCESS FROM OXON RUN DR),F08,,2002,2,801807,8018072
154,"Station entrance located south of the station between bus bay,kiss&ride and parking lot area.",192,38.850953000000004,-76.956822,"MAIN ENTRANCE (ACCESS FROM BRANCH AVE, AND WEST OF NAYLOR RD & GOOD HOPE AVE)",F09,,1002,1,801805,8018051
155,"Mezzanine entrance from bus bays, kiss&ride, and Old Soper Rd.",194,38.827079,-76.91255699999999,"MAIN ENTRANCE (SOUTH , AUTH WAY & OLD SOPER RD)",F11,,2029,2,801905,8019052
156,Mezzanine entrance from the parking lot between north end of Auth Way and Capital Gateway Dr.,195,38.827195,-76.912441,NORTH ENTRANCE (AUTH WAY & CAPITAL GATEWAY DR),F11,,2029,2,801905,8019052
157,Elevator from northeast corner of Central Ave and Benning Road NE.,196,38.890546,-76.937531,ELEVATOR ENTRANCE (CENTRAL AVE NE & BENNING RD NE),G01,,3007,3,007803,0078033
158,Canopied escalator entrance at northeast corner of Central Ave and Benning Road NE.,197,38.890343,-76.937376,MAIN ENTRANCE (CENTRAL AVE NE & BENNING RD NE),G01,,3007,3,007803,0078033
159,"Elevator entrance from parking lot, bus bay, and the sidewalks from E Capital St.",198,38.88924,-76.912991,ELEVATOR ENTRANCE (E CAPITOL ST & SOUTHERN AVE),G02,,1006,1,802700,8027001
160,"Canopied escalator entrance from bus bay, located at southeast corner of Southern Ave and E Capital St NE.",199,38.889225,-76.913268,MAIN ENTRANCE (E CAPITOL ST & SOUTHERN AVE),G02,,1006,1,802700,8027001
161,Station entrance is accessible from walkway at Garret A Morgan Blvd and SGT Hartman Ln.,201,38.893764000000004,-76.868543,NORTH ENTRANCE (WALKWAY FROM GARRET A MORGAN BLVD & SGT HARTMAN LN),G04,,1001,1,803519,8035191
162,Station entrance from bus bay and parking located west side of Garret A Morgan Blvd.,202,38.893551,-76.868402,SOUTH ENTRANCE (GARRET A MORGAN BLVD & FIELDSTONE WAY),G04,,1001,1,803519,8035191
163,Facility entrance from west side of the station is accessible from bus bay and north side parking garage.,204,38.900147,-76.84525699999999,NORTH ENTRANCE (ACCESS FROM NORTH PARKING GARAGE AND BUSBAY),G05,,1009,1,803514,8035141
164,Passageway to station from parking lot and kiss&ride located northwest corner of Eisenhower Ave.,205,38.799708,-77.12968199999999,"WEST ENTRANCE (KISS & RIDE, NORTHEAST CORNER OF EISENHOWER AVE & METRO RD)",J02,,1003,1,200403,2004031
165,Facility entrance from bus bay located southeast corner of Eisenhower Ave.,206,38.799535,-77.129222,EAST ENTRANCE (EAST SIDE OF EISENHOWER AVE BUS BAY),J02,,1005,1,200403,2004031
166,Facility entrance by pedestrian bridge connecting WMATA station and VRE station located on the south side.,207,38.766078,-77.16869200000001,MAIN ENTRANCE (FRANCONIA SPRINGFIELD PKWY AT FRONTIER DR),J03,,3000,3,421002,4210023
167,"Pedestrian bridge to station is accessible from the bus bay, kiss&ride, parking garage.",208,38.766676000000004,-77.169126,PEDESTRIAN BRIDGE ENTRANCE (PEDESTRIAN BRIDGE FROM PARKING GARAGE),J03,,3000,3,421002,4210023
168,Street level elevator located at the northwest corner of Wilson Blvd and N.Uhle St(Colonial Village Building).,210,38.891731,-77.085063,"NORTH ELEVATOR ENTRANCE (NW OF CLARENDON BLVD & N UHLE ST, COLONIAL VILLAGE EXIT)",K01,,2001,2,101602,1016022
169,Elevator to tunnel located next to parking space located on 15th St N.,211,38.890603000000006,-77.084938,SOUTH ELEVATOR ENTRANCE (SW OF 15TH ST N & N UHLE ST),K01,,1008,1,101802,1018021
170,Elevator entrance at Clarendon Blvd and 15th St N.,212,38.890462,-77.08607099999999,WEST ELEVATOR ENTRANCE (CLARENDON BLVD & 15TH ST N),K01,,1008,1,101802,1018021
171,Escalator entrance at Strayer University building entrance at Clarendon Blvd and  N Uhie St intersection.,213,38.891183000000005,-77.085011,"NORTH ENTRANCE (SW OF CLARENDON BLVD & N UHLE ST, STRYER UNIVERSITY EXIT)",K01,,1002,1,101802,1018021
172,"Elevator entrance from Clarendon Central Park, between Wilson Blvd and Clarendon Blvd.",214,38.886756,-77.09567,"ELEVATOR ENTRANCE (CLARENDON CENTRAL PARK, BETWEEN WILSON BLVD & CLARENDON BLVD)",K02,,1000,1,101900,1019001
173,Government building entrance to intermediate passageway (only open during building hours).,216,38.887002,-77.095287,BUILDING ENTRANCE (GOVERNMENT BUILDING),K02,,1000,1,101900,1019001
174,Street level elevator just north of escalator located west of North Monroe St.,217,38.883016999999995,-77.10329499999999,ELEVATOR ENTRANCE (NORTH OF THE MAIN ENTRANCE ON N MONROE ST),K03,,1004,1,101404,1014041
175,Station entrance from the southwest corner of  North Monroe St and  N.Fairfax Dr.,218,38.88283,-77.103278,MAIN ENTRANCE (NORTHEWEST CORNER OF N MONROE ST AND N FAIRFAX DR),K03,,1004,1,101404,1014041
176,Entrance elevators located at the northwest corner of N Fairfax Dr and N Stuart St.,219,38.882368,-77.112131,NORTH ELEVATOR ENTRANCE  (NORTH OF N FAIRFAX DR & N STUARD ST),K04,,3003,3,101402,1014023
177,Entrance elevators located at the southwest corner of N Fairfax Dr and N Stuart St.,220,38.882054,-77.11209699999999,SOUTH ELEVATOR ENTRANCE  (SOUTH OF N FAIRFAX DR & N STUARD ST),K04,,1000,1,101403,1014031
178,Canopied escalator entrance at southeast corner of N Fairfax Dr and N Stuart St.,221,38.881868,-77.111358,MAIN ENTRANCE (N FAIRFAX DR & N STUARD ST),K04,,2000,2,101403,1014032
179,Street level station entrance located under I-66 is accessible by the walkway from bus bay and parking lot located at the north side and from kiss&ride area located at the south of the side station.,222,38.885892999999996,-77.156571,MAIN ENTRANCE (N SYCAMORE ST & I66),K05,,5016,5,101100,1011005
180,Station entrance from north side is accessible from bus bay located off Rt.267.,223,38.9011,-77.188973,"NORTH ENTRANCE (NORTH BUS BAY, NORTH SIDE OF I66 ACCESS FROM WEST FALLS CHURCH METRO DRIVEWAY)",K06,,1022,1,471000,4710001
181,"Pedestrian bridge to station from south side is accessible from bus bay, kiss&ride, parking garage located north of Haycock Rd.",224,38.900319,-77.188878,"SOUTH ENTRANCE (MAIN EXIT, NORTH SIDE OF HAYCOCK RD)",K06,,1026,1,471000,4710001
182,"Station entrance is accessible from bus bay, kiss&ride area and parking lot located at the northwest corner of Bellforest Dr and Gallows Rd.",225,38.882816999999996,-77.228436,MAIN ENTRANCE (GALLOWS RD & I66),K07,,1001,1,461602,4616021
183,"Pedestrian bridge to station from north side accessible by the sidewalks from north side parking lot, parking garage, bus bay and kiss&ride located off Virginia Center Blvd.",226,38.878301,-77.271539,NORTH ENTRANCE (SOUTH SIDE OF VIRGINIA CENTER BLVD),K08,,1011,1,461500,4615001
184,"Pedestrian bridge to station from south side accessible by the sidewalks from south side parking lot, parking garage, bus bay and kiss&ride located on Saintsbury Dr.",227,38.877378,-77.271284,SOUTH ENTRANCE (NORTH SIDE OF SAINTSBURY DR),K08,,3006,3,461601,4616013
185,"Elevator inside the station is accessible from Dolley Madison, Capital One Dr. sidewalk, and Fairfax Connector bus bay.",228,38.924802,-77.209491,EAST ELEVATOR ENTRANCE,N01,,1023,1,471202,4712021
186,"South pavilion elevator is accessible from south bus bay, south kiss & ride, and the sidewalk along the south west corner of Dolley Madison Blvd and Colshire Dr.",229,38.924427,-77.208588,SOUTH PAVILION ELEVATOR ENTRANCE,N01,,2022,2,471202,4712022
187,"South pavilion entrance accessible from south bus bay, south kiss & ride, and the sidewalk along the south west corner of Dolley Madison Blvd and Colshire Dr.",231,38.924559,-77.208332,SOUTH PAVILION ENTRANCE,N01,,2022,2,471202,4712022
188,South pavilion elevator entrance from Fairfax Connector bus bay.,232,38.919778,-77.222032,SOUTH PAVILION ELEVATOR ENTRANCE,N02,,2020,2,480202,4802022
189,Elevator to the station accessible from the bus bay and sidewalk located at the northwest corner of  Tysons Blvd and Chain Bridge Rd intersection.,233,38.920654,-77.222564,WEST ELEVATOR ENTRANCE,N02,,2006,2,480202,4802022
190,Station entrance from the bus bay and sidewalk located at the northwest corner of  Tysons Blvd and Chain Bridge Rd intersection.,234,38.920576000000004,-77.222566,WEST ENTRANCE,N02,,2006,2,480202,4802022
191,South pavilion entrance from  station sideswalk and Fairfax Connector bus bay.,235,38.919758,-77.222388,SOUTH PAVILION ENTRANCE,N02,,2023,2,480202,4802022
192,North pavilion elevator entrance from Pinnacle Dr and SAIC Dr sidewalk.,236,38.920951,-77.233127,NORTH PAVILION ELEVATOR ENTRANCE,N03,,2032,2,480202,4802022
193,South pavilion elevator entrance is accessible from pavilion sidewalk along Leesburg Pike west bound.,237,38.92047,-77.233959,SOUTH PAVILION ELEVATOR ENTRANCE,N03,,3014,3,460400,4604003
194,North pavilion entrance from Pinnacle Dr and SAIC Dr sidewalk.,238,38.921107,-77.233001,NORTH PAVILION ENTRANCE,N03,,2032,2,480202,4802022
195,South pavilion elevator is accessible from the pavilion sidewalk along Leesburg Pike westbound.,241,38.928566,-77.24184100000001,SOUTH PAVILION ELEVATOR ENTRANCE,N04,,3013,3,460400,4604003
196,"North pavilion entrance is accessible from north bus bay,  north kiss & ride, and the short term parking lot located at the north east corner of Leesburg Pike and Spring Hill Rd.",242,38.929288,-77.240822,NORTH PAVILION ENTRANCE,N04,,3064,3,480300,4803003
197,South pavilion entrance from the west corner of Leesburg Pike and Spring Hill Road intersection.,243,38.928405,-77.241686,SOUTH PAVILION ENTRANCE,N04,,3013,3,460400,4604003
198,South pavilion elevator entrance from station south bus bay.,244,38.946993,-77.34015600000001,SOUTH PAVILION ELEVATOR ENTRANCE,N06,,1005,1,482301,4823011
199,South pavilion entrance from station south bus bay.,245,38.946881,-77.339912,SOUTH PAVILION ENTRANCE,N06,,1005,1,482301,4823011
200,Building entrance from west mezzanine to Macy's entrance.,3,38.898433000000004,-77.029402,WEST BUILDING ENTRANCE (MACY'S) TO RED LINES,A01,C01,1010,1,005800,0058001
201,"Canopied escalator and stairway entrance on west side of Connecticut Ave NW, between Ordway St NW and Porter St NW.",16,38.936203000000006,-77.05904100000001,"WEST ENTRANCE (WEST SIDE CONNECTICUT AVE NW, NORTH OF ORDWAY ST NW)",A05,,2000,2,000600,0006002
202,Station entrance from the northwest corner of Connecticut Ave NW and Veazey Terrace NW.,19,38.944532,-77.064027,"WEST ENTRANCE (UDC EXIT, NORTHWEST CORNER OF CONNECTICUT AVE & VEAZEY TERR)",A06,,4000,4,001200,0012004
203,"Facility entrance by the walkway from bus bay, parking lot and kiss&ride area located at the northwest corner of Strathmore Park Ct and Tuckerman Ln.",37,39.028917,-77.103615,"EAST ENTRANCE (PARKING EXIT, STRATHMORE PARK CT & TUCKERMAN LN)",A11,,1004,1,701214,7012141
204,"Station entrance is accessible from bus bay,parking lot and kiss&ride area located south of Rhode Island Ave NE and Reed St NE.",56,38.920505,-76.996104,"MAIN ENTRANCE (SOUTHWEST OF RHODE ISLAND AVE & 8TH PL, WEST OF WASHINGTON PL)",B04,,2022,2,009102,0091022
205,"South side station entrance located east of Cedar St NW and Eastern Ave NW, accessible from bus bay and the sidewalks from Cedar St NW.",62,38.975102,-77.017425,SOUTH ENTRANCE (NORTH OF THE MAIN ENTRANCE),B07,,2000,2,001702,0017022
206,"Entrance by ramp from southeast corner of bus bay, kiss&ride area, and parking lot located at  Kimball Pl/Forest Glen Rd(passageway goes under Forest Glen Rd to the station).",68,39.01582,-77.044327,"BUSBAY TUNNEL ENTRANCE (BUS BAY & KISS & RIDE AREA, KIMBALL PL & FOREST GLEN RD)",B09,,3019,3,704000,7040003
207,Station entrance is located east of N St NE and 2nd St NE intersection ( Florida Ave exit ).,75,38.907336,-77.003302,"NORTH ENTRANCE (FLORIDA AVE EXIT, EAST OF FLORIDA AVE & 2ND ST)",B35,,2004,2,010600,0106002
208,Street level elevator at 12th St NW segment between G St NW and H St NW.,77,38.898920000000004,-77.027914,NORTH ELEVATOR ENTRANCE (NORTH OF 12TH & G STs) TO ORANGE/BLUE LINES,C01,A01,1011,1,005800,0058001
209,"Building entrance from the southwest corner of I St NW,15th St NW and Vermont Ave NW.",84,38.90113,-77.034947,WEST ENTRANCE (VERMONT & I STs),C02,,2007,2,010100,0101002
210,"Station entrance form street level elevator facing I St NW, adjacent to station escalator  (south end of George Washington University Hospital building).",89,38.900824,-77.05085600000001,ELEVATOR ENTRANCE (23RD & I STs),C04,,4006,4,005600,0056004
211,Station main entrance is accessible from bus bay area located on N.Moore St segment between 19th St.N and Wilson Blvd.,92,38.895949,-77.07170699999999,"EAST ENTRANCE (N MOORE ST EXIT, WEST N MOORE ST, BETWEEN 19TH ST & WILSON BLVD)",C05,,3006,3,101603,1016033
212,Elevator entrance from Memorial Dr (between rail tracks and GW Pkwy).,94,38.884817,-77.063075,EAST ELEVATOR ENTRANCE (MEMORIAL DR & GW PKWY),C06,,1015,1,980100,9801001
213,Entrance from south side intermediate passageway to mezzanine,107,38.857982,-77.051164,CRYSTAL CITY SHOP ENTRANCE (SOUTH),C09,,1008,1,103402,1034021
214,Pedestrian bridge to station north entrance is accessible from parking garage - C and airport terminal -C,109,38.85463,-77.044507,"NORTH ENTRANCE (NORTH EXIT, TO PARKING GARAGE C AND TERMINAL C)",C10,,1013,1,980200,9802001
215,"Station main entrance by the walkway from bus bay and kiss&ride area located west of Diagonal Rd and from the sidewalks from Rt.7,( King Street).",112,38.806290000000004,-77.061299,MAIN ENTRANCE (WEST OF DIAGONAL RD),C13,,2008,2,201900,2019002
216,"Station entrance is accessible by the walkway from kiss&ride, bus bay and parking garage located north end of station near Huntington Ave.",118,38.794613,-77.075168,NORTH ENTRANCE (HUNTINGTON AVE EXIT),C15,,1001,1,420503,4205031
217,Station entrance from National Mall area at Jefferson Dr SW between 12th St NW and 13th St NW.,122,38.889086,-77.02837099999999,"NORTH ENTRANCE (MALL EXIT, NORTHEAST OF 12TH ST & JEFERSON DR)",D02,,1150,1,006202,0062021
218,"Canopied entrance located at the southeast corner of Pennsylvania Ave SE and 7th St SE, and it also accessible from 8th St SE and D St SE.",131,38.884213,-76.995736,MAIN ENTRANCE (PENNSYLVANIA AVE & 7th ST),D06,,2003,2,007000,0070002
219,"Street level elevator is accessible by the sidewalks from G St SE, 14th St SE and from bus bay.",132,38.881049,-76.985113,NORTH ELEVATOR ENTRANCE (NORTH OF THE MAIN ENTRANCE),D07,,2008,2,006900,0069002
220,Street level elevator from 19th St SE segment between Burke St SE and C St SE.,134,38.885918,-76.977158,SOUTH ELEVATOR ENTRANCE (EAST SIDE OF 19TH ST BETWEEN C AND BURKE ST),D08,,1011,1,006804,0068041
221,"Elevator entrance from northeast corner of parking lot, next to bus bay and kiss&ride.",143,38.916174,-76.91676600000001,"ELEVATOR ENTRANCE (COLUMBIA PARK RD, FROM RT 50)",D11,,1005,1,803100,8031001
222,"Entrance elevator( towards passageway to station) is adjacent to west side escalator and is accessible from IRS pedestrian bridge, parking lot and bus bay located southeast corner of Ellin Rd and Harkins Rd.",146,38.948423,-76.872176,NORTHWEST ELEVATOR ENTRANCE (ADJACENT TO NORTHWEST ENTRANCE),D13,,1011,1,803612,8036121
223,Canopied Entrance from 7th St NW segment between S St NW and T St NW.,153,38.914572,-77.021672,NORTH ENTRANCE (7TH & S STs),E02,,1004,1,004801,0048011
224,Street level elevator from the building located at U St NW segment between 12th St NW and 13th St NW.,155,38.916778,-77.028917,WEST ELEVATOR ENTRANCE (SOUTH SIDE OF U ST BETWEEN 12TH AND 13TH STs),E03,,2006,2,004400,0044002
225,Building entrance located at the west side of Georgia Ave NW and New Hampshire Ave NW.,163,38.937191999999996,-77.024721,"WEST ENTRANCE (BUILDING EXIT, WEST OF GEORGIA & NEW HAMPSHIRE AVEs)",E05,,2006,2,002502,0025022
226,Station entrance from  south side parking garage (bus bay A-D)  located south of East-West Hwy and west of Belcrest Rd.,166,38.965174,-76.955588,SOUTH ENTRANCE (SOUTH BUS BAY),E08,,1007,1,806000,8060001
227,"Elevator from Verizon Center, located at east of 7th St NW.",173,38.897926,-77.02172900000001,"ELEVATOR ENTRANCE (VERISON CENTER, EAST OF 7TH & F STs) TO GREEN/YELLOW LINES",F01,B01,2006,2,005800,0058002
228,Escalator entrance adjacent to Navy Memorial/west side of 7th and Indiana Ave NW.,176,38.893939,-77.02252800000001,MAIN ENTRANCE (7TH ST NW & PENNSYLVANIA AVE NW),F02,,1040,1,005800,0058001
229,Street level elevator located on 7th St SW segment between VRE tracks and C St SW/Maryland Ave SW intersection.,177,38.885982,-77.02211700000001,NORTHWEST ELEVATOR ENTRANCE (SW CORNER OF 7TH ST & C ST & MARYLAND AVE) TO GREEN/YELLOW LINES,F03,D03,2010,2,010200,0102002
230,Canopied entrance from the northwest corner of New Jersey Ave SE and M St SE.,182,38.876667,-77.004456,EAST ENTRANCE (NW OF M ST & NEW JERSEY AVE),F05,,2026,2,007200,0072002
231,Canopied escalator entrance at southeast corner of Alabama Ave SE and 13th St SE.,188,38.844606,-76.98759100000001,SOUTH ENTRANCE (SOUTHEAST OF ALABAMA AVE SE & 13TH ST SE),F07,,1005,1,007304,0073041
232,"Station entrance is accessible by bus bay, pedestrian bridge from parking garage and the sidewalks from Silver Hill Road.",193,38.844258,-76.932298,MAIN ENTRANCE (WEST OF SILVER HILL RD & NAVY DAY DR),F10,,1087,1,802405,8024051
233,Station entrance is reachable by the walkway from parking garage and the sidewalks from Central Ave.,200,38.886716,-76.895749,"MAIN ENTRANCE (ADDISON RD, SOUTH OF CENTRAL AVE)",G03,,1003,1,802804,8028041
234,Canopied entrance located east side of the station and is reachable by the walkway from parking lot and south parking garage.,203,38.899865999999996,-76.84491700000001,MAIN ENTRANCE (N HARRY S TRUMAN DR & LARGO DR),G05,,1009,1,803514,8035141
235,Canopied entrance next to AMC Theaters.,209,38.890315,-77.085112,"SOUTH ENTRANCE (PLAZA EXIT, AMC COURTHOUSE PLAZA, 15TH ST N)",K01,,1008,1,101802,1018021
236,South pavilion entrance from the west corner of Leesburg Pike and Marshalls Dr.,239,38.920658,-77.234138,SOUTH PAVILION ENTRANCE,N03,,3014,3,460400,4604003
237,"North pavilion elevator is accessible from north bus bay, north kiss & ride, and the short term parking lot located at the north east corner of Leesburg Pike and Spring Hill Rd.",240,38.92915,-77.24100200000001,NORTH PAVILION ELEVATOR ENTRANCE,N04,,3064,3,480300,4803003
238,Walkway to station pedestrian bridge is accessible from parking garage and kiss & ride located at the north side of the station.,246,38.948291,-77.33891899999999,NORTH PEDESTRIAN BRIDGE ENTRANCE,N06,,2020,2,482202,4822022
239,Building entrance from the northeast corner of Connecticut Ave NW and K St NW.,7,38.902767,-77.039121,SOUTH ENTRANCE (CONNECTICUT & K ST),A02,,1020,1,010700,0107001
240,"Station entrance from east side of Georgia Ave, and is accessible from parking garage and bus bay area.",73,39.062312,-77.053179,EAST ENTRANCE (EAST SIDE OF GEORGIA AVE FROM LAYHILL RD),B11,,1009,1,703206,7032061
241,Elevator entrance from the northwest corner of D St SE and 1 St SE.,128,38.885182,-77.006151,ELEVATOR ENTRANCE (1ST ST SE & D ST SE),D05,,1143,1,006202,0062021
242,"Escalator and stairway entrance by the walkway from parking lot, bus bay, and kiss&ride off of River Rd, located on east side of station.",169,38.978183,-76.927953,EAST ENTRANCE (RIVER RD & PAINT BRANCH PKWY),E09,,2020,2,807102,8071022
243,Canopied entrance located at Maryland Ave SW and the east of 7th St SW.,178,38.886227000000005,-77.02159300000001,NORTH ENTRANCE (7TH ST & MARYLAND AVE) TO GREEN/YELLOW LINES,F03,D03,1003,1,010200,0102001
244,"Station entrance from Dolley Madison, Capital One Dr sidewalk, and Fairfax Connector bus bay.",230,38.924751,-77.209603,EAST ENTRANCE,N01,,1023,1,471202,4712021
245,Canopied escalator and stairway entrance at southwest corner of Wilson Blvd and Highland St.,215,38.88718,-77.0951,MAIN ENTRANCE (WILSON BLVD & N HIGHLAND ST),K02,,1000,1,101900,1019001
